"","en","id"
"about_scripts","About Scripts","Tentang Naskah"
"all","All","Semua"
"anchor","Anchor","Jangkar"
"bottom","Bottom","Bawah"
"bottom_left","Bottom Left","Bawah Kiri"
"bottom_right","Bottom Right","Bawah Kanan"
"cancel","Cancel","Batal"
"center","Center","Tengah"
"centimeters","Centimeters","Sentimeter"
"check_updates","Check Updates","Cek Pembaruan"
"clear_preferences","Clear Preferences","Hapus Preferensi"
"close","Close","Tutup"
"close_documents","Close Documents","Tutup Dokumen"
"confirm_closedocuments","There are %d documents, %d of them unsaved. Close them without saving?","Ada %d dokumen, %d di antaranya belum disimpan. Tutup tanpa menyimpan?"
"dark","Dark","Gelap"
"direction","Direction","Arah"
"done","Done","Selesai"
"download","Download","Unduh"
"error_commons","No active document","Tidak ada dokumen aktif"
"error_emptyselection","Empty selection","Seleksi kosong"
"error_preconditions_saved","Save the document before proceeding","Simpan dokumen sebelum melanjutkan"
"height","Height","Tinggi"
"help","Help","Bantuan"
"inches","Inches","Inci"
"keep_unsaved","Keep Unsaved","Abaikan yang Belum disimpan"
"language","Language","Bahasa"
"left","Left","Kiri"
"length","Length","Panjang"
"licensing","Licensing","Lisensi"
"light","Light","Terang"
"message_aboutscripts","Prepress Adobe Scripts for %s\nLast updated %s","Prepress Adobe Scripts untuk %s\nTerakhir diperbarui %s"
"message_aboutscripts_updates","Click Check Updates to fetch data.","Klik Periksa Pembaruan untuk mengambil data."
"message_aboutscripts_updates_available","Latest version %s is available.","Versi terbaru %s tersedia."
"message_aboutscripts_updates_failed","Unable to fetch data.","Tidak dapat mengambil data."
"message_aboutscripts_updates_unavailable","You have the latest version.","Anda memiliki versi terbaru."
"message_preflight_allokay","No issues found in all documents","Tidak ada masalah yang ditemukan di semua dokumen"
"message_preflight_issue","Issues found in %s:\n","Masalah ditemukan di %s:\n"
"millimeters","Millimeters","Milimeter"
"no","No","Tidak"
"none","None","Tidak Ada"
"options","Options","Opsi"
"others","Others","Lainnya"
"pixels","Pixels","Piksel"
"please_wait","Please Wait","Mohon Tunggu"
"points","Points","Poin"
"pre_flight","Pre-Flight","Pra-Penerbangan"
"preferences","Preferences","Preferensi"
"resolution","Resolution","Resolusi"
"right","Right","Kanan"
"theme","Theme","Tema"
"tip_aboutscripts_language","Languages of the scripts.","Bahasa-bahasa dari naskah ini."
"tip_aboutscripts_theme","Defines what icon color to be used.\nThe script is still dumb and can't yet know UI brightness setting across apps.","Menentukan warna icon yang akan digunakan.\nNaskah ini masih bodoh dan belum bisa mengetahui pengaturan kecerahan UI di seluruh aplikasi."
"tip_whatsthis","What's this?","Apa ini?"
"tools","Tools","Peralatan"
"top","Top","Atas"
"top_left","Top Left","Atas Kiri"
"top_right","Top Right","Atas Kanan"
"updates","Updates","Pembaruan"
"visit_github","Visit GitHub","Kunjungi GitHub"
"width","Width","Lebar"
"yes","Yes","Ya"
